Index,Star_name,Distance,Mass,Radius,Gravity
Index,Star_name,Distance,Mass,Radius,Gravity
4,Arcturus,37.0,1.1,26.0,0.44629597278924754
5,Vega,25.0,2.2,2.7,82.76984296448046
6,Capella,43.0,2.6,12.0,4.952082081908975
8,Procyon,11.4,1.5,1.9,113.9622554541166
14,Aldebaran,65.0,1.5,44.0,0.21250193294905007
17,Pollux,34.0,1.9,8.8,6.729227876719916
21,Regulus,77.0,3.8,3.1,108.45190567600218
24,Castor,52.0,2.8,2.4,133.3252868206262
25,Gacrux,88.0,1.5,84.0,0.058305519017766566
32,Alioth,81.0,2.9,4.2,45.08960137373948
41,Menkalinan,81.0,2.39,2.77,85.43097080483021
45,Alsephina[2],80.0,2.4,2.9,78.26943965552645
54,Ran,10.48,0.82,0.74,410.70254272616984
63,61 Cygni,11.41,0.7,0.665,434.1419255394917
70,Lacaille 8760,12.87,0.6,0.51,632.685493563031
78,Barnard's Star,5.98,0.14,0.2,959.9420651085089
79,Luhman 16,6.52,0.04,0.02,27426.9161459574
80,Proxima Centauri,4.25,0.12,0.15,1462.7688611177277
87,Gliese 1214,47.5,0.16,0.21,995.0808579032163
89,VB 10,18.72,0.075,0.1,2057.0187109468043
91,TRAPPIST-1,39.6,0.08900000000000001,0.12,1695.1357895765336
92,2MASS J0523-1403,40.3,0.07,0.086,2595.841171196618
93,WISE 0855−0714,7.27,0.003,0.086,111.25033590842646
95,SDSS J000013.54+255418.6 [de],46.1,0.04582022400000001,0.10173537,1214.200056936461
97,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1648.5172507306947
99,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1393.9943359838123
101,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659722,1178.4549471797168
102,2MASS 0036+1821,28.6,0.040092696000000004,0.09659722,1178.4549471797168
105,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659722,1122.3380449330632
106,2MASS J00584253-0651239 [de],96.0,0.027683052000000003,0.14695109,351.5971318717637
107,2MASSI J0103320+193536,70.0,0.049638576,0.10070774,1342.3649161325598
108,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.10070774,1342.3649161325598
111,SDSS J015141.69+124429.6,70.0,0.04486563599999999,0.09968011,1238.4366334263516
116,2MASS J02431371−2453298,35.0,0.031501404,0.10173537,834.7625391438166
117,LP 771-21,53.0,0.074457864,0.11098404,1657.9311541328584
118,Teegarden's star,12.578,0.07636704,0.13050901,1229.7078510792417
120,WISE J0254+0223,24.0,0.06204822,0.1952497,446.40140770557866
121,DEN 0255-4700,16.2,0.07636704,0.09968011,2107.9772483852794
122,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968011,1291.1360646359838
123,2MASS J03205965+1854233,47.0,0.084003744,0.11817745,1649.7053854867902
125,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762485,1236.1885136462176
127,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070774,1393.9943359838123
128,2MASS J03341218-4953322,27.0,0.06968492400000001,0.10687352,1673.3068242582378
129,LP 944-20,20.9,0.06968492400000001,0.14695109,885.0548491944395
130,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1664.073567827919
132,2MASS J03510004-0052452,48.0,0.097367976,0.13050901,1567.8775101260333
134,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,824.1256757641451
135,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,1669.384557701969
136,2MASS J04351612-1606574,34.0,0.09545880000000001,0.12948138,1561.6306004391138
138,2MASS J04390101-2353083 [de],29.5,0.04582022400000001,0.09968011,1264.786349031168
140,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,1586.7166344045677
141,2MASS J04510093-3402150 [de],69.0,0.000992772,7.398936,0.004973795867202517
142,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,1586.7166344045677
144,2MASS J05160945-0445499 [de],73.0,0.04486563599999999,0.09968011,1238.4366334263516
145,2MASS J0523−1403,40.0,0.064911984,0.10379063,1652.6678012497337
146,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1482.5402334740254
149,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173537,1416.5667330925376
150,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
151,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115,1686.5610484742424
152,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
153,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,671.1824580662799
154,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659722,1150.3964960563899
155,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659722,1038.1626915630836
156,SDSS J074201.41+205520.5 [de],49.0,0.041047283999999996,0.09659722,1206.513398303043
157,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1659.2174251037488
158,2MASS J07522390+1612157,60.0,0.001918722,6.987884,0.010776994467105179
159,DENIS J081730.0-615520,16.1,0.042001872,0.09659722,1234.5718494263697
160,2MASS J08251968+2115521 [de],35.0,0.049638576,0.10070774,1342.3649161325598
161,SDSSp J083008.12+482847.4 [de],43.0,0.04582022400000001,0.10173537,1214.200056936461
162,LHS 2021,55.0,0.084003744,0.11817745,1649.7053854867902
163,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865248,1237.4702484573381
164,2MASSI J0835425-081923 [de],23.53,0.059184455999999996,0.102763,1537.131739579425
165,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,1586.7166344045677
166,2MASS J08533619-0329321,27.6,0.07350327599999999,0.10995641,1667.410647888894
167,2MASSI J0859254-194926 [de],50.0,0.047729400000000005,0.10070774,1290.7354962813079
168,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659722,1178.4549471797168
169,2MASS 0939−2448,17.4,0.030546816,0.09762485,879.0673874817548
170,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865248,1318.174829878469
171,2MASS J10073369-4555147,46.0,0.042001872,0.09659722,1234.5718494263697
172,2MASSI J1010148-040649 [de],55.0,0.048683988,0.10070774,1316.5502062069338
174,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968011,1291.1360646359838
175,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659722,1178.4549471797168
176,DEN 1048-3956,13.15,0.07350327599999999,0.10995641,1667.410647888894
177,Luhman 16B,6.516,0.041047283999999996,0.10481826,1024.6782379282668
178,Luhman 16A,6.516,0.03818352,0.10379063,972.157530146902
179,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,1586.7166344045677
182,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.11708292998327
183,2MASS J11145133−2618235,18.2,0.031501404,0.09865248,887.7503956324381
186,2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,1586.7166344045677
188,2MASSI J1217110-031113 [de],36.0,0.040092696000000004,0.09659722,1178.4549471797168
189,2M 1237+6526,45.6,0.039138108,0.09659722,1150.3964960563899
191,SDSSp J125453.90-012247.4 [de],38.0,0.04486563599999999,0.10070774,1213.291366504429
192,Kelu-1A,61.0,0.060139044,0.10070774,1626.3267253144477
193,Kelu-1B,61.0,0.055366104000000006,0.10070774,1497.253175686317
195,SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.09968011,1343.8354958456157
196,SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.09659722,1234.5718494263697
197,2MASS J13595510-4034582,51.0,0.060139044,0.102763,1561.9241869919963
198,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865248,860.8488684920613
201,LHS 2924,38.5,0.072548688,0.10892878,1676.9544351685863
202,2MASS J14392837+1929150,47.0,0.068730336,0.10584589,1682.5866846122526
203,LSPM J1440+1339,72.0,0.087822096,0.12228797,1610.6949805497954
204,2MASS J14482563+1031590 [de],47.0,0.056320692,0.10173537,1492.4542366510664
207,TVLM 513-46546,35.1,0.07159410000000001,0.10790115,1686.5610484742424
208,2MASS 1503+2525,20.7,0.042001872,0.09659722,1234.5718494263697
209,CFBDS J150411+102717,71.0,0.042001872,0.09659722,1234.5718494263697
210,2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,1644.2511259779164
211,2MASS 1507−1627,23.9,0.05727528,0.10173537,1517.750071170576
212,TVLM 868-110639,53.0,0.075412452,0.11098404,1679.1866817499465
213,2MASSW J1515008+484742 [de],34.0,0.05441151599999999,0.10173537,1441.862567612047
214,2MASSI J1526140+204341 [de],67.0,0.051547752,0.10070774,1393.9943359838123
215,DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763,1561.9241869919963
216,2MASS J15462718-3325111 [de],37.0,0.042001872,0.09659722,1234.5718494263697
217,2MASSW J1552591+294849 [de],68.0,0.02863764,0.14695109,363.7211709018244
218,2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,1659.2174251037488
219,2MASS J16150413+1340079 [de],48.0,0.040092696000000004,0.09659722,1178.4549471797168
220,SDSSp J162414.37+002915.6 [de],36.0,0.041047283999999996,0.09659722,1206.513398303043
222,2MASSW J1632291+190441 [de],50.0,0.046774812,0.09968011,1291.1360646359838
223,WISEPA J164715.59+563208.2,28.0,0.039138108,0.09659722,1150.3964960563899
224,LSPM J1658+7027 [de],60.0,0.06968492400000001,0.10687352,1673.3068242582378
226,SDSSp J175032.96+175903.9,90.0,0.04486563599999999,0.09968011,1238.4366334263516
227,2MASS J18283572-4849046,39.0,0.04295646,0.09762485,1236.1885136462176
228,LSR J1835+3259,18.5,0.07350327599999999,0.10995641,1667.410647888894
230,2MASS J18432213+4040209,46.0,0.09164044800000001,0.12537086,1599.082875306941
232,SDSS J204749.61-071818.3,65.0,0.043911048,0.09865248,1237.4702484573381
233,2MASSI J2057540-025230,47.0,0.06682116,0.10481826,1668.0808524413649
234,2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1644.2511259779164
235,PSO J318.5−22,80.0,0.006204822,0.15722739,68.84143200551662
237,2MASS J21392676+0220226,32.1,0.043911048,0.09865248,1237.4702484573381
238,2MASS J21481628+4003593,26.3,0.05250234,0.10173537,1391.270898573028
241,2MASSW J2224438-015852,38.0,0.058229868,0.10173537,1543.0459056900854
242,2MASS J22282889-4310262,35.0,0.040092696000000004,0.09659722,1178.4549471797168
243,2MASS J22373255+3922398,64.0,0.06968492400000001,0.10687352,1673.3068242582378
247,2MASS J23515044-2537367,67.0,0.084003744,0.11920508,1621.3847891693522
248,2MASSI J2356547-155310,74.0,0.07636704,0.11201167,1669.384557701969
249,WISE 0410+1502,20.0,0.005727528000000001,0.12023271,108.66731278795253
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,21.082013105928027
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,17.169284911753024
252,WISE 1405+5534,25.3,0.02863764,0.08837618,2.4471070969610065e-10
